,delito,esco_apro,esco_act,continuidadEscolar,ocupacion
76,HURTO AGRAVADO Y CALIFICADO,QUINTO,QUINTO,No,CESANTE
77,PORTE ILEGAL DE ARMAS,TERCERO,TERCERO,No,CESANTE
78,HURTO AGRAVADO Y CALIFICADO,TERCERO,TERCERO,No,TRABAJA
79,RECEPTACION,QUINTO,QUINTO,No,TRABAJA
80,HURTO AGRAVADO Y CALIFICADO,QUINTO,QUINTO,No,CESANTE
81,PORTE DE ESTUPEFACIENTES,SEPTIMO,SEPTIMO,No,CESANTE
82,HURTO AGRAVADO Y CALIFICADO,NOVENO,CICLO V,Si,ESTUDIA
83,HURTO AGRAVADO Y CALIFICADO,BACHILLER,TECNICO,Si,TRABAJA
84,HURTO AGRAVADO Y CALIFICADO,SEPTIMO,SEPTIMO,No,CESANTE
85,HURTO,QUINTO,QUINTO,No,CESANTE
86,PORTE ILEGAL DE ARMAS,QUINTO,QUINTO,No,FALLECIDO
87,VIOLENCIA INTRAFAMILIAR,QUINTO,QUINTO,No,CESANTE
